開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または何かに使えそうですか？,（Confidence）このアクティビィティは難しかったですか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
5/2/17 11:35:32,YES,YES,YES,NO,
5/2/17 11:35:45,NO,YES,NO,YES,
5/2/17 11:35:48,NO,NO,NO,NO,
5/2/17 11:37:54,YES,YES,NO,YES,
5/2/17 11:36:56,YES,YES,NO,YES,
5/2/17 11:36:12,YES,YES,YES,YES,
5/2/17 11:36:15,YES,YES,YES,YES,特になし
5/2/17 11:36:15,YES,YES,NO,YES,('・ω・`)
5/2/17 11:35:50,YES,YES,NO,YES,
5/2/17 11:36:19,YES,YES,YES,YES,
5/2/17 11:36:08,YES,YES,YES,YES,
5/2/17 11:36:09,YES,NO,NO,YES,
5/2/17 11:38:22,YES,YES,NO,YES,
5/2/17 11:36:09,YES,YES,NO,YES,
5/2/17 11:36:01,YES,YES,NO,YES,
5/2/17 11:36:26,YES,YES,YES,YES,
5/2/17 11:35:29,YES,NO,NO,NO,
5/2/17 11:35:51,NO,NO,NO,NO,
5/2/17 11:35:44,YES,YES,NO,YES,
5/2/17 11:35:49,YES,YES,NO,YES,
5/2/17 11:36:41,YES,YES,NO,YES,ついでにExelの使い方を再確認できたので良かった
5/2/17 11:36:10,YES,YES,NO,YES,
5/2/17 11:36:17,YES,YES,YES,YES,
5/2/17 11:36:38,YES,YES,YES,YES,
5/2/17 11:37:36,YES,YES,YES,YES,
5/2/17 11:36:19,YES,YES,NO,YES,
5/2/17 11:35:31,YES,NO,NO,YES,手書きグラフが面倒臭い
5/2/17 11:36:07,NO,NO,NO,NO,はえーーーーーーーーーーーーーーーーーーーーーーーーーーーー
5/2/17 11:36:11,YES,YES,NO,NO,
5/2/17 11:36:14,NO,NO,YES,YES,
5/2/17 11:36:04,NO,NO,YES,YES,☎Σ⊂(☉ω☉∩) ﾁﾝｯ!
5/2/17 11:35:37,NO,YES,NO,YES,チームで相談しながらアクティビティに取り組めたので、楽しく課題をクリア出来た。
5/2/17 11:37:03,YES,YES,NO,NO,calc等の使い方が知れて良かった。
5/2/17 11:36:01,YES,YES,NO,YES,
5/2/17 11:39:57,YES,YES,NO,YES,
5/2/17 11:39:45,YES,YES,YES,YES,0
,,,,,
YES,29,28,12,29,
NO,7,8,24,7,
