開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
11/29/17 13:49:05,YES,YES,YES,YES,
11/29/17 13:49:22,YES,YES,YES,YES,
11/29/17 13:49:25,YES,YES,YES,YES,
11/29/17 13:49:03,YES,YES,YES,YES,
11/29/17 13:49:42,YES,YES,YES,YES,
11/29/17 13:49:45,YES,YES,YES,YES,
11/29/17 13:49:08,YES,NO,NO,YES,
11/29/17 13:49:43,YES,YES,YES,YES,いえーい
11/29/17 13:49:25,NO,NO,NO,NO,
11/29/17 13:49:52,YES,YES,YES,YES,
11/29/17 13:49:04,NO,YES,NO,YES,（非公開）
11/29/17 13:49:41,YES,YES,YES,YES,
11/29/17 13:49:54,YES,YES,YES,YES,早く帰りたい
11/29/17 13:50:14,YES,YES,YES,YES,
11/29/17 13:49:03,YES,YES,YES,YES,（非公開）
11/29/17 13:49:07,YES,YES,YES,YES, (非公開)
11/29/17 13:50:58,YES,YES,YES,YES,マクドナルド
11/29/17 13:49:53,YES,YES,YES,YES,(非公開) 
11/29/17 13:50:07,NO,YES,YES,YES,成績、優にしてください
11/29/17 13:51:01,NO,YES,YES,YES,
11/29/17 13:51:01,YES,YES,YES,YES,
11/29/17 13:50:10,YES,NO,YES,YES,
11/29/17 13:49:35,YES,YES,YES,YES,
11/29/17 13:51:09,YES,YES,YES,YES,
11/29/17 13:51:12,YES,YES,YES,YES,
11/29/17 13:49:26,NO,NO,NO,NO,"††† 黒聖騎士 （ブラックホーリーパラディン） †††
卍・・・難しかったなぁ・・・卍"
11/29/17 13:50:39,NO,YES,YES,NO,
11/29/17 13:49:58,NO,NO,NO,NO,"テストのたびに選択肢をクッリクミスしてしまいます
どうしたらいいでしょうか？"
11/29/17 13:50:17,YES,YES,YES,YES,ん？
,,,,,
YES,22,24,24,25,
NO,7,5,5,4,
